candidate_id,candidate_text,years_of_experience,current_title,current_company,skill_count,certification_count,language_count,candidate_skills
CAND_0000001,"Headline: Backend Engineer | SQL, Spark, Cloud Summary: Software / data professional with 6.9 years of experience building data pipelines, backend systems, and analytics infrastructure. I'm a backend/data hybrid — Spark, Airflow, SQL warehouses are home territory; I'm building competence on the ML side. My toolkit is solid on the data engineering side — Python, SQL, Spark, Airflow, warehouse design — and I've completed a couple of self-directed ML projects (Kaggle competitions, side projects fine-tuning small models). Interested in transitioning toward more AI/ML-focused work, ideally at a company where I can leverage my existing data-infra skills while learning modern ML practice. Current Role: Backend Engineer at Mindtree Current Industry: IT Services Location: Toronto, Canada Years of Experience: 6.9 Career History: Backend Engineer; Mindtree; IT Services; Implemented streaming data pipelines on Kafka and Spark Streaming for a real-time user-activity processing platform. Designed the schema-registry integration, the watermark/state management approach, and the deduplication logic for late-arriving events. Worked closely with the data science team to make sure feature pipelines aligned with what their models needed. Most of my career has been data engineering, with some adjacent ML exposure. | Analytics Engineer; Dunder Mifflin; Paper Products; Built and maintained data pipelines on Apache Airflow processing ~500GB of daily transactional data across 12 source systems. Worked extensively with Spark (PySpark) for batch processing and dbt for the transformation/modeling layer in our Snowflake warehouse. Owned the on-call rotation for data quality issues — wrote most of the data quality checks that detect schema drift and unusual volume changes. The pipeline supports the analytics team and a few internal ML models. Education: Lovely Professional University; B.E.; Computer Science; 8.24 CGPA; tier_3 Skills: Tailwind; intermediate; 3; 13 | NLP; advanced; 37; 26 | Image Classification; advanced; 7; 40 | Fine-tuning LLMs; advanced; 21; 36 | Weights & Biases; intermediate; 13; 30 | Speech Recognition; advanced; 52; 33 | Photoshop; intermediate; 8; 24 | TTS; advanced; 56; 60 | LoRA; intermediate; 0; 28 | Apache Beam; intermediate; 4; 9 | AWS; beginner; 5; 8 | Flask; beginner; 15; 15 | BentoML; intermediate; 3; 36 | Milvus; advanced; 40; 35 | GANs; advanced; 12; 19 | Statistical Modeling; intermediate; 9; 8 | GCP; beginner; 7; 2 Languages: English; professional | Hindi; conversational",6.9,Backend Engineer,Mindtree,17,0,2,"Tailwind, NLP, Image Classification, Fine-tuning LLMs, Weights & Biases, Speech Recognition, Photoshop, TTS, LoRA, Apache Beam, AWS, Flask, BentoML, Milvus, GANs, Statistical Modeling, GCP"
CAND_0000002,"Headline: Operations Manager | 12.5+ yrs experience Summary: Professional with 12.5+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities. Current Role: Operations Manager at Wipro Current Industry: IT Services Location: Chennai, Tamil Nadu, India Years of Experience: 12.5 Career History: Operations Manager; Wipro; IT Services; Customer support team lead at a SaaS product. Managed a team of 8 support agents handling tier-1 and tier-2 tickets; owned the escalation process to engineering and the customer-feedback loop to product. Built out the support knowledge base and the agent training program. Strong on the people-management side and the process side; lighter on technical depth beyond product expertise. | Operations Manager; Wipro; IT Services; Mechanical engineering design role at a hardware-product company. Led the design of two product subsystems through full lifecycle: concept, DFM/DFMA review, prototype, production tooling. Comfortable with CAD (SolidWorks, Creo), FEA (ANSYS), and the typical hardware-development cadence. Worked closely with manufacturing partners on production scale-up. | Marketing Manager; Acme Corp; Manufacturing; Content writing and SEO strategy for a tech-focused publication. Wrote longform articles on developer tools, cloud platforms, and AI/ML topics — including some that ranked on the first page of search for high-competition keywords. Managed a freelance writer pool and the editorial calendar. Recent work has been on AI-assisted content production, using LLM tools for research, drafting, and editing while maintaining editorial quality. | Marketing Manager; Dunder Mifflin; Paper Products; Brand design and creative direction at a consumer-products company. Owned brand identity (logo, visual system, typography), packaging design, and digital creative across web and social. Led the recent rebrand and managed a small external agency for production work. Comfortable across the Adobe suite, Figma, and the production side of brand and packaging design. Education: Local Engineering College; B.Sc; Mathematics; 77%; tier_4 Skills: Project Management; intermediate; 14; 23 | React; intermediate; 6; 35 | Photoshop; intermediate; 9; 35 | TypeScript; beginner; 2; 3 | Marketing; beginner; 9; 11 | Kafka; intermediate; 3; 16 | JavaScript; beginner; 9; 3 | Feature Engineering; intermediate; 11; 27 | GCP; intermediate; 7; 30 Languages: English; professional | Hindi; conversational",12.5,Operations Manager,Wipro,9,0,2,"Project Management, React, Photoshop, TypeScript, Marketing, Kafka, JavaScript, Feature Engineering, GCP"
CAND_0000003,"Headline: Customer Support | 1.1+ yrs experience Summary: Professional with 1.1+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities. Current Role: Customer Support at TCS Current Industry: IT Services Location: Austin, USA Years of Experience: 1.1 Career History: Customer Support; TCS; IT Services; Business analyst at a consulting firm, working primarily with retail and CPG clients. Conducted business diagnostics, process re-engineering work, and digital transformation strategy projects. Strong on stakeholder management, structured problem-solving, and the typical consulting toolkit (slide-craft, Excel modeling, executive communication). Recent project work involved AI-strategy advisory but my own technical depth in AI is limited. Education: Local Engineering College; M.E.; Chemical Engineering; 6.82 CGPA; tier_4 | Chandigarh University; M.Sc; Information Technology; 87%; tier_3 Skills: Angular; intermediate; 13; 10 | SEO; beginner; 11; 11 | Excel; intermediate; 2; 15 | Accounting; beginner; 7; 18 | Kubernetes; intermediate; 0; 34 | Databricks; beginner; 14; 18 Languages: English; professional | Hindi; professional",1.1,Customer Support,TCS,6,0,2,"Angular, SEO, Excel, Accounting, Kubernetes, Databricks"
CAND_0000004,"Headline: Marketing Manager | Driving business outcomes Summary: Professional with 3.8+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities. Current Role: Marketing Manager at Dunder Mifflin Current Industry: Paper Products Location: Sydney, Australia Years of Experience: 3.8 Career History: Marketing Manager; Dunder Mifflin; Paper Products; Mechanical engineering design role at a hardware-product company. Led the design of two product subsystems through full lifecycle: concept, DFM/DFMA review, prototype, production tooling. Comfortable with CAD (SolidWorks, Creo), FEA (ANSYS), and the typical hardware-development cadence. Worked closely with manufacturing partners on production scale-up. | Operations Manager; Infosys; IT Services; Content writing and SEO strategy for a tech-focused publication. Wrote longform articles on developer tools, cloud platforms, and AI/ML topics — including some that ranked on the first page of search for high-competition keywords. Managed a freelance writer pool and the editorial calendar. Recent work has been on AI-assisted content production, using LLM tools for research, drafting, and editing while maintaining editorial quality. | Business Analyst; Globex Inc; Manufacturing; Operations management role at a logistics company. Owned daily fulfillment operations across 3 warehouses, managing a team of 80 across receiving, picking, packing, and outbound. Built and tracked the operational KPIs (on-time fulfillment, accuracy, cost per order) and led the continuous improvement initiatives that drove a 22% productivity gain over 18 months. Education: Local Engineering College; B.Tech; Machine Learning; 7.72 CGPA; tier_4 | Lovely Professional University; Ph.D; Electronics; 7.61 CGPA; tier_3 Skills: Node.js; intermediate; 1; 20 | Content Writing; beginner; 7; 3 | Redux; beginner; 14; 8 | Airflow; intermediate; 11; 27 | GraphQL; beginner; 13; 2 | Object Detection; intermediate; 3; 17 | Webpack; beginner; 10; 7 | Six Sigma; beginner; 1; 12 | SAP; intermediate; 6; 9 | JavaScript; intermediate; 14; 29 Certifications: AWS Certified Cloud Practitioner; AWS; 2025 | Scrum Master Certified; Scrum Alliance; 2025 Languages: English; professional | Hindi; professional",3.8,Marketing Manager,Dunder Mifflin,10,2,2,"Node.js, Content Writing, Redux, Airflow, GraphQL, Object Detection, Webpack, Six Sigma, SAP, JavaScript"
CAND_0000005,"Headline: Accountant | Helping teams scale Summary: Professional with 11.0+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities. Current Role: Accountant at Stark Industries Current Industry: Manufacturing Location: Gurgaon, Haryana, India Years of Experience: 11.0 Career History: Accountant; Stark Industries; Manufacturing; Business analyst at a consulting firm, working primarily with retail and CPG clients. Conducted business diagnostics, process re-engineering work, and digital transformation strategy projects. Strong on stakeholder management, structured problem-solving, and the typical consulting toolkit (slide-craft, Excel modeling, executive communication). Recent project work involved AI-strategy advisory but my own technical depth in AI is limited. | HR Manager; Wipro; IT Services; Senior accounting role at a mid-sized company — month-end close, financial reporting, statutory compliance (GAAP / Ind-AS), and tax filings. Owned the GL, fixed-asset register, and the audit-readiness function. Managed a team of 3 staff accountants. Built strong process discipline around the close cycle, reducing close time from 12 days to 7 over the last two years. | HR Manager; Initech; Software; Business analyst at a consulting firm, working primarily with retail and CPG clients. Conducted business diagnostics, process re-engineering work, and digital transformation strategy projects. Strong on stakeholder management, structured problem-solving, and the typical consulting toolkit (slide-craft, Excel modeling, executive communication). Recent project work involved AI-strategy advisory but my own technical depth in AI is limited. | Accountant; TCS; IT Services; Customer support team lead at a SaaS product. Managed a team of 8 support agents handling tier-1 and tier-2 tickets; owned the escalation process to engineering and the customer-feedback loop to product. Built out the support knowledge base and the agent training program. Strong on the people-management side and the process side; lighter on technical depth beyond product expertise. Education: Chandigarh University; M.Sc; Information Technology; 87%; tier_3 Skills: SQL; beginner; 12; 12 | PowerPoint; beginner; 6; 14 | Photoshop; beginner; 4; 18 | Tailwind; intermediate; 15; 35 | Apache Flink; intermediate; 1; 30 | Image Classification; advanced; 50; 38 Languages: English; professional | Hindi; conversational",11.0,Accountant,Stark Industries,6,0,2,"SQL, PowerPoint, Photoshop, Tailwind, Apache Flink, Image Classification"
CAND_0000006,"Headline: Business Analyst | 6.0+ yrs experience Summary: Professional with 6.0+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities. Current Role: Business Analyst at Wayne Enterprises Current Industry: Conglomerate Location: Austin, USA Years of Experience: 6.0 Career History: Business Analyst; Wayne Enterprises; Conglomerate; Senior accounting role at a mid-sized company — month-end close, financial reporting, statutory compliance (GAAP / Ind-AS), and tax filings. Owned the GL, fixed-asset register, and the audit-readiness function. Managed a team of 3 staff accountants. Built strong process discipline around the close cycle, reducing close time from 12 days to 7 over the last two years. | Mechanical Engineer; Pied Piper; Software; Business analyst at a consulting firm, working primarily with retail and CPG clients. Conducted business diagnostics, process re-engineering work, and digital transformation strategy projects. Strong on stakeholder management, structured problem-solving, and the typical consulting toolkit (slide-craft, Excel modeling, executive communication). Recent project work involved AI-strategy advisory but my own technical depth in AI is limited. Education: Lovely Professional University; B.Sc; Artificial Intelligence; 9.26 CGPA; tier_3 Skills: Content Writing; intermediate; 0; 33 | SEO; intermediate; 13; 31 | Redux; beginner; 15; 12 | SQL; beginner; 9; 11 | Sales; intermediate; 5; 27 | gRPC; beginner; 8; 3 | Django; intermediate; 3; 11 | Terraform; beginner; 4; 13 Languages: English; professional | Hindi; conversational",6.0,Business Analyst,Wayne Enterprises,8,0,2,"Content Writing, SEO, Redux, SQL, Sales, gRPC, Django, Terraform"
CAND_0000007,"Headline: Civil Engineer | 5.5+ yrs experience Summary: Professional with 5.5+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities. Current Role: Civil Engineer at Wipro Current Industry: IT Services Location: Gurgaon, Haryana, India Years of Experience: 5.5 Career History: Civil Engineer; Wipro; IT Services; Brand design and creative direction at a consumer-products company. Owned brand identity (logo, visual system, typography), packaging design, and digital creative across web and social. Led the recent rebrand and managed a small external agency for production work. Comfortable across the Adobe suite, Figma, and the production side of brand and packaging design. | Mechanical Engineer; Initech; Software; Customer support team lead at a SaaS product. Managed a team of 8 support agents handling tier-1 and tier-2 tickets; owned the escalation process to engineering and the customer-feedback loop to product. Built out the support knowledge base and the agent training program. Strong on the people-management side and the process side; lighter on technical depth beyond product expertise. Education: SRM University; M.E.; Data Science; 8.28 CGPA; tier_2 Skills: Content Writing; beginner; 12; 14 | MongoDB; intermediate; 13; 9 | Sales; intermediate; 0; 27 | Spark; beginner; 14; 14 | Scrum; beginner; 4; 18 | Apache Beam; beginner; 4; 3 | Illustrator; beginner; 14; 2 Languages: English; professional | Hindi; professional",5.5,Civil Engineer,Wipro,7,0,2,"Content Writing, MongoDB, Sales, Spark, Scrum, Apache Beam, Illustrator"
CAND_0000008,"Headline: Operations Manager | 3.6+ yrs experience Summary: Professional with 3.6+ years of experience. I've spent my career in marketing manager roles, mostly focused on driving outcomes through process, people, and customer relationships. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities. Current Role: Operations Manager at Wipro Current Industry: IT Services Location: Noida, Uttar Pradesh, India Years of Experience: 3.6 Career History: Operations Manager; Wipro; IT Services; Marketing leadership role at a B2B SaaS company. Owned the demand-generation function — content marketing, paid acquisition, SEO, email nurture. Built and managed a team of 5 across content, performance marketing, and marketing operations. Worked closely with sales on lead-quality definitions and the SDR-handoff process. Recent focus has been on account-based marketing for our enterprise segment. Education: Anna University; B.Tech; Data Science; 8.60 CGPA; tier_2 | SRM University; M.Sc; Computer Engineering; 67%; tier_2 Skills: Java; intermediate; 2; 32 | BigQuery; beginner; 5; 9 | Spark; beginner; 4; 6 | Accounting; beginner; 8; 3 | Kubernetes; intermediate; 2; 9 | TypeScript; intermediate; 14; 11 | Rust; intermediate; 12; 16 | HTML; beginner; 8; 11 Certifications: Six Sigma Green Belt; ASQ; 2018 Languages: English; professional | Hindi; professional",3.6,Operations Manager,Wipro,8,1,2,"Java, BigQuery, Spark, Accounting, Kubernetes, TypeScript, Rust, HTML"
CAND_0000009,"Headline: Mechanical Engineer | Driving business outcomes Summary: Professional with 11.0+ years of experience. My professional background is in marketing manager — I've built and led teams, owned KPIs, and driven business outcomes in this domain. Lately I've been curious about how AI tools could augment my work — I've experimented with ChatGPT and a few other tools for productivity and content creation, and I think the space is exciting. Open to roles where I can apply my domain expertise alongside emerging AI capabilities. Current Role: Mechanical Engineer at Dunder Mifflin Current Industry: Paper Products Location: New York, USA Years of Experience: 11.0 Career History: Mechanical Engineer; Dunder Mifflin; Paper Products; Business analyst at a consulting firm, working primarily with retail and CPG clients. Conducted business diagnostics, process re-engineering work, and digital transformation strategy projects. Strong on stakeholder management, structured problem-solving, and the typical consulting toolkit (slide-craft, Excel modeling, executive communication). Recent project work involved AI-strategy advisory but my own technical depth in AI is limited. | Content Writer; Wipro; IT Services; Marketing leadership role at a B2B SaaS company. Owned the demand-generation function — content marketing, paid acquisition, SEO, email nurture. Built and managed a team of 5 across content, performance marketing, and marketing operations. Worked closely with sales on lead-quality definitions and the SDR-handoff process. Recent focus has been on account-based marketing for our enterprise segment. | Customer Support; Stark Industries; Manufacturing; Mechanical engineering design role at a hardware-product company. Led the design of two product subsystems through full lifecycle: concept, DFM/DFMA review, prototype, production tooling. Comfortable with CAD (SolidWorks, Creo), FEA (ANSYS), and the typical hardware-development cadence. Worked closely with manufacturing partners on production scale-up. | Project Manager; Acme Corp; Manufacturing; Enterprise sales of cloud software solutions into the mid-market segment. Carried a $1.8M ARR quota and consistently delivered against it across the last three years. Owned the full sales cycle: prospecting, discovery, technical evaluation (with SE support), commercial negotiation, and close. Strong on consultative selling for technical buyers; comfortable engaging with both engineering and finance stakeholders. Education: KIIT University; B.Tech; Electronics; 7.89 CGPA; tier_3 Skills: Snowflake; intermediate; 5; 8 | gRPC; beginner; 6; 12 | JavaScript; intermediate; 0; 23 | OpenCV; intermediate; 12; 36 | Go; intermediate; 12; 20 | PowerPoint; intermediate; 1; 10 Languages: English; native | Hindi; professional",11.0,Mechanical Engineer,Dunder Mifflin,6,0,2,"Snowflake, gRPC, JavaScript, OpenCV, Go, PowerPoint"
CAND_0000010,"Headline: Data Engineer | Data pipelines & analytics Summary: Software / data professional with 4.6 years of experience building data pipelines, backend systems, and analytics infrastructure. Most of my work has been data pipelines and analytics infrastructure; I've shipped a couple of small ML features but it's not the core of my day. My toolkit is solid on the data engineering side — Python, SQL, Spark, Airflow, warehouse design — and I've completed a couple of self-directed ML projects (Kaggle competitions, side projects fine-tuning small models). Interested in transitioning toward more AI/ML-focused work, ideally at a company where I can leverage my existing data-infra skills while learning modern ML practice. Current Role: Data Engineer at Ola Current Industry: Transportation Location: London, UK Years of Experience: 4.6 Career History: Data Engineer; Ola; Transportation; Mixed data science and analytics-engineering role at a marketing-analytics startup. Spent maybe 30% of my time on lightweight ML (clustering, classification, churn prediction in sklearn/XGBoost) and 70% on data infrastructure and dashboards. Comfortable with the modeling work but I wouldn't call myself an ML specialist. Built our experimentation framework that supports the product team's A/B tests. Education: Generic State University; B.E.; Mathematics; 85%; tier_4 | Local Engineering College; M.S.; Computer Engineering; 7.73 CGPA; tier_4 Skills: GCP; beginner; 7; 8 | Spring Boot; beginner; 3; 2 | Kubeflow; intermediate; 11; 19 | Java; intermediate; 12; 19 | GANs; advanced; 58; 57 | Figma; beginner; 4; 3 | Elasticsearch; intermediate; 15; 17 | OpenCV; advanced; 0; 24 | CNN; intermediate; 15; 8 | Azure; beginner; 7; 11 | Prompt Engineering; advanced; 42; 35 | Object Detection; advanced; 55; 58 | MLOps; intermediate; 3; 10 | Python; intermediate; 7; 14 | BM25; advanced; 55; 55 | Weights & Biases; advanced; 4; 21 | Sales; beginner; 5; 18 Languages: English; native | Hindi; professional",4.6,Data Engineer,Ola,17,0,2,"GCP, Spring Boot, Kubeflow, Java, GANs, Figma, Elasticsearch, OpenCV, CNN, Azure, Prompt Engineering, Object Detection, MLOps, Python, BM25, Weights & Biases, Sales"
